OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,LONGITUDE,LATITUDE,LABEL
Denham Sand / Gaze,mineral deposit,WA,"Gravel, Sand - undifferentiated, Aggregate - coarse",113.5554,-25.903099999999974,0
Carnarvon South / Sweetman,Mine - Openpit,WA,"Sand - undifferentiated, Heavy minerals",113.7157,-24.931899999999963,0
Gascoyne River Sand M09/31,mineral deposit,WA,Sand - undifferentiated,113.7363,-24.847499999999982,0
Gnargoo Range 3,mineral deposit,WA,Limestone,113.9822,-23.67910000000003,0
Gnargoo Range North,mineral deposit,WA,Limestone,113.963,-23.54220000000001,0
Shark Bay Rock 1,mineral deposit,WA,"Aggregate - coarse, Limestone",113.6595,-26.113499999999977,0
Gascoyne River Sand M09/69,mineral deposit,WA,Sand - undifferentiated,113.8893,-24.797899999999974,0
Minilya River / Exmouth Quarries,mineral deposit,WA,Sand - undifferentiated,114.0148,-23.813800000000015,0
L'Haridon Bight South,mineral deposit,WA,"Limesand, Sea shells / shell grit",113.7867,-26.210100000000047,0
Gascoyne River M09/130 / Sweetman,mineral deposit,WA,Gravel,114.0338,-24.744700000000027,0
L'Haridon Bight South 2,mineral deposit,WA,"Limesand, Sea shells / shell grit",113.8194,-26.168699999999987,0
L'Haridon Bight North,mineral deposit,WA,"Limesand, Sea shells / shell grit, Limestone",113.85020000000002,-26.115399999999994,0
Booldah Well Quarry,mineral deposit,WA,Limestone,113.9697,-26.33740000000002,0
Gascoyne River Sand Faulkner Group,mineral deposit,WA,"Sand - undifferentiated, Gravel",114.1822,-24.762300000000007,0
Winning Pool Diatomite,Mine - Openpit,WA,"Diatomite, Unspecified/Unknown, Quartz - undifferentiated",114.5336,-23.135999999999946,0
Ashburton Salt Crystalliser Pond,mineral deposit,WA,"Salt, Potassium",114.73070000000001,-21.875399999999992,0
Amy South A,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1287,-26.76009999999997,0
Amy South B,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1235,-26.72079999999998,0
Amy South D,mineral deposit,WA,"Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1166,-26.642200000000017,0
Amy North,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Zircon, Ilmenite, Leucoxene, Rutile",114.1086,-26.50610000000002,0
Flagpole Landing Coquinite,mineral deposit,WA,Limestone,114.1653,-26.398499999999935,0
Borrow Pit Clay-Sand 1,mineral deposit,WA,"Clay, Sand - undifferentiated",114.2359,-26.69889999999999,0
Carbla Point Coquinite,mineral deposit,WA,Limestone,114.2196,-26.260399999999986,0
Ashburton Sand and Shingle M08/478,mineral deposit,WA,"Sand - undifferentiated, Gravel",114.98120000000002,-21.795900000000007,0
Limestone Hill North / Quarry Park,mineral deposit,WA,"Limestone, Caliche",114.9292,-21.73729999999999,0
Pelsart Island Phosphate (Houtman Abrolhos),mineral deposit,WA,Phosphate,113.962,-28.983699999999978,0
Borrow Pit Calcrete 1,mineral deposit,WA,Caliche,114.2815,-26.695600000000027,0
Minderoo Bridge,mineral deposit,WA,"Sand - undifferentiated, Gravel",115.0406,-21.984199999999987,0
Ashburton Sand and Shingle M08/458,mineral deposit,WA,"Sand - undifferentiated, Gravel",115.02860000000001,-21.961900000000014,0
Minderoo Pool,mineral deposit,WA,"Sand - undifferentiated, Gravel",114.99239999999999,-21.846699999999984,0
Wheatstone Borrow Pit 2,mineral deposit,WA,"Gravel, Sand - undifferentiated",115.00960000000002,-21.714700000000025,0
Onslow West 1 / NTC,Mine - Openpit,WA,"Sand - undifferentiated, Gravel",115.0843,-21.687600000000042,0
Hose - Port Gregory,mineral deposit,WA,"Garnet, Heavy minerals, Ilmenite, Zircon",114.2106,-28.089599999999983,0
Menari North 2,mineral deposit,WA,"Unspecified/Unknown, Garnet, Heavy minerals, Leucoxene, Ilmenite, Zircon, Rutile",114.1812,-27.984500000000043,0
Borrow Pit Calcrete 3,mineral deposit,WA,Caliche,114.4049,-26.6958,0
Barradale Sand 2,mineral deposit,WA,Sand - undifferentiated,114.95450000000001,-22.88590000000003,0
Yannarie River,mineral deposit,WA,Sand - undifferentiated,114.9494,-22.86459999999996,0
Bennet Well South,mineral deposit,WA,"Uranium oxide, Uranium",115.05700000000002,-22.535700000000013,0
Bennet Well Central,mineral deposit,WA,"Uranium oxide, Uranium",115.0748,-22.5267,0
Onslow Dune Sand Stage 1 / North Rossa,mineral deposit,WA,Sand - undifferentiated,115.1388,-21.82509999999997,0
Onslow-Peedamullah Road,mineral deposit,WA,Sand - construction,115.16129999999998,-21.79689999999999,0
Onslow Salt Condenser Ponds,mineral deposit,WA,Salt,115.15609999999998,-21.706300000000024,0
Lynton 1 - Port Gregory,mineral deposit,WA,"Heavy minerals, Garnet, Ilmenite, Zircon",114.2772,-28.1723,0
Borrow Pit Calcrete 5,mineral deposit,WA,Caliche,114.4612,-26.69840000000001,0
Carley Bore Zone 3,mineral deposit,WA,Uranium,115.0069,-23.513200000000015,0
Carley Bore Zone 1,Deposit - Unspecified,WA,"Uranium oxide, Uranium",114.99629999999999,-23.504499999999982,0
Deep Well West / Main Roads,mineral deposit,WA,Aggregate - undifferentiated,115.1117,-22.763699999999975,0
Bennet Well Channel,mineral deposit,WA,Uranium,115.0975,-22.55099999999998,0
Bennet Well East,mineral deposit,WA,"Uranium oxide, Uranium",115.08350000000002,-22.517300000000006,0
Manyingee,mineral deposit,WA,"Uranium oxide, Uranium",115.1846,-22.411199999999983,0
Onslow Dune Sand Stage 2 / North Rossa,mineral deposit,WA,Sand - undifferentiated,115.2238,-21.90750000000004,0
Beach - Broken Anchor Bay,mineral deposit,WA,"Heavy minerals, Garnet, Ilmenite, Zircon",114.3179,-28.22690000000004,0
Hutt River HM,mineral deposit,WA,"Garnet, Heavy minerals, Ilmenite, Rutile",114.31540000000001,-28.1934,0
Borrow Pit Clay-Sand 5,mineral deposit,WA,"Clay, Sand - undifferentiated",114.559,-26.697499999999998,0
North Wing - Manyingee East,mineral deposit,WA,"Uranium oxide, Uranium",115.211,-22.42499999999998,0
Sandy Gully,mineral deposit,WA,Limesand,114.4198,-28.34820000000004,0
Mooka / Archer,mineral deposit,WA,"Gemstones, Chalcedony - undifferentiated",114.9543,-24.893000000000036,0
Lyndon borrow pit 6,mineral deposit,WA,"Gravel, Road metal",115.15079999999999,-23.81640000000004,0
Lyndon borrow pit 7,mineral deposit,WA,"Gravel, Road metal",115.1793,-23.58489999999998,0
Lyndon borrow pit 8,mineral deposit,WA,"Gravel, Road metal",115.1955,-23.5266,0
Rouse Creek Sand / Exmouth Quarries,Mine - Openpit,WA,Sand - undifferentiated,115.3539,-22.6943,0
Range Aggregate,mineral deposit,WA,Aggregate - undifferentiated,115.41920000000002,-22.20330000000002,0
Mount Minnie Sand Environmental Group,mineral deposit,WA,"Sand - undifferentiated, Gravel",115.457,-21.840400000000027,0
Kirtons north extended Pb,mineral deposit,WA,Lead,114.5835,-28.334900000000008,0
Yiapa - Baddera (66),mineral deposit,WA,Lead,114.6149,-28.254700000000046,0
Ajana-Kalbarri Road Lot 4676,mineral deposit,WA,Gravel,114.65070000000001,-27.98560000000002,0
Springvale Pb,mineral deposit,WA,Lead,114.6169,-27.93119999999995,0
Ethel Maude - Baddera (66),mineral deposit,WA,Lead,114.6671,-27.841700000000017,0
Chequers (66),mineral deposit,WA,Lead,114.67550000000001,-27.772499999999944,0
Jailor Bore,mineral deposit,WA,"Uranium oxide, Uranium",115.27850000000001,-23.764900000000004,0
Lyndon borrow pit 5,mineral deposit,WA,"Gravel, Road metal",115.292,-23.66119999999998,0
Uaroo 10,mineral deposit,WA,Lead,115.3589,-22.774500000000014,0
Rous Creek / Hanson,mineral deposit,WA,Sand - undifferentiated,115.3563,-22.699799999999982,0
Green Gate Granite Environmental Group,mineral deposit,WA,"Aggregate - undifferentiated, Granite",115.4691,-22.577099999999987,0
Mt Minnie Granite Environmental Group,mineral deposit,WA,"Aggregate - marine, Aggregate - undifferentiated, Granite",115.51130000000002,-22.13710000000002,0
Cane River / Hanson,mineral deposit,WA,"Sand - undifferentiated, Gravel",115.5315,-21.947699999999976,0
Wokarena Gravel and Sand,mineral deposit,WA,"Gravel, Sand - undifferentiated",114.6521,-28.673099999999973,0
Gelirah Pb,mineral deposit,WA,Lead,114.648,-28.592899999999986,0
"Hatch Road Lots 29,52,7890 Bowes / Boral",mineral deposit,WA,"Aggregate - undifferentiated, Aggregate - coarse, Aggregate - marine, Granite",114.618,-28.497000000000003,0
Rifle Range Pb,mineral deposit,WA,Lead,114.6056,-28.335000000000004,0
Johnny Walker (66),mineral deposit,WA,Lead,114.64620000000001,-28.26250000000004,0
North West Coastal Highway Binnu Lot 4677,mineral deposit,WA,Gravel,114.66869999999999,-27.97919999999998,0
Grand Junction / Wiluna (66),mineral deposit,WA,Lead,114.7032,-27.811400000000024,0
Gascoyne Junction Ornamental Sandstone M09/108 & M09/116,mineral deposit,WA,"Ornamental stone, Sandstone",115.16930000000002,-25.04070000000005,0
Lyndon borrow pit 1,mineral deposit,WA,"Aggregate - undifferentiated, Road metal, Granite",115.4008,-23.724300000000003,0
Kilba Well - Mt Alexander Zone 11,Deposit - Unspecified,WA,"Tungsten trioxide (wolframite), Tungsten",115.53910000000002,-22.78079999999996,0
Nanutarra / Porter  (08),mineral deposit,WA,Lead,115.5012,-22.713799999999992,0
Nanutarra Sand Borrow Pit,mineral deposit,WA,Sand - undifferentiated,115.47700000000002,-22.609199999999998,0
Ashburton Beryl Crown Lands,mineral deposit,WA,Beryl - undifferentiated,115.4991,-22.545699999999982,0
Parry Range Marble,mineral deposit,WA,"Marble, Dimension stone",115.5468,-22.317000000000018,0
Georgina Road Southwest,Deposit - Unspecified,WA,"Garnet, Heavy minerals, Ilmenite, Rutile, Zircon",114.7126,-28.913200000000014,0
Meru,mineral deposit,WA,"Sand - undifferentiated, Gravel, Limestone",114.6658,-28.802599999999952,0
Twins West HM,mineral deposit,WA,Heavy minerals,114.6626,-28.725799999999996,0
Urch Road Lot 13 Narra Tarra Sand / Quadrio,mineral deposit,WA,Sand - undifferentiated,114.73660000000001,-28.628300000000003,0
Bella Vista Gravel,mineral deposit,WA,Gravel,114.69240000000002,-28.533499999999968,0
Mendip (66),mineral deposit,WA,"Lead, Zinc",114.775,-28.48789999999999,0
Norman Well - Northampton (66),mineral deposit,WA,Lead,114.7159,-28.417500000000043,0
Mt Sandiman 1,mineral deposit,WA,Barite,115.38899999999998,-24.472099999999983,0
Kilba Well - Mt Alexander Tungsten,Deposit - Unspecified,WA,"Tungsten trioxide (wolframite), Tungsten",115.5524,-22.779699999999973,0
Beryllium Gap 1,mineral deposit,WA,Lead,115.5543,-22.687199999999958,0
Warramboo Creek,mineral deposit,WA,Sand - undifferentiated,115.7904,-21.675100000000022,0
Greenough North Garnet,Deposit - Unspecified,WA,"Garnet, Ilmenite, Rutile, Zircon",114.74020000000002,-28.922499999999957,0
Moonyoonooka Sand 2 / Pirone,mineral deposit,WA,Sand - undifferentiated,114.73999999999998,-28.796699999999987,0
Moonyoonooka Sand 1 / Pirone,mineral deposit,WA,Sand - undifferentiated,114.74940000000001,-28.78550000000001,0
Geraldton-Mount Magnet Rd Lot 20 East Chapman / Kimberley Quarry,mineral deposit,WA,"Aggregate - undifferentiated, Aggregate - marine",114.79189999999998,-28.690699999999964,0
Mt Sandiman 3,mineral deposit,WA,Barite,115.40950000000001,-24.472300000000033,0
White Rocks Quarry 2 - White Rocks White,mineral deposit,WA,"Marble, Dimension stone",115.70080000000002,-22.927900000000054,0
Nanutarra Red Marble,mineral deposit,WA,"Marble, Dimension stone",115.7274,-22.70749999999998,0
Wadrah Plateau Dimension Stone 4,mineral deposit,WA,"Marble, Dolomite, Dimension stone",115.7285,-22.693699999999982,0
Timbuck Creek Environmental Group / Onslow,mineral deposit,WA,"Aggregate - undifferentiated, Dolerite, Granite, Sand - undifferentiated",115.7661,-22.453499999999956,0
Warramboo - Mesa A,mineral deposit,WA,Iron,115.8306,-21.663200000000003,0
Mardie Primary Crystallisation Pond / BCI,mineral deposit,WA,"Salt, Potassium",115.92650000000002,-21.113899999999973,0
Criddle Rd Lot 3745 Walkaway / Lenane,mineral deposit,WA,Gravel,114.90099999999998,-28.947200000000024,0
Shorts North - Nangetty-Walkaway Rd Lot 1 Ellendale/Patience,mineral deposit,WA,Sand - construction,114.90080000000002,-28.891800000000003,0
Lady Sampson - Baddera (66),mineral deposit,WA,Lead,114.91859999999998,-28.624399999999977,0
Meilga (08),mineral deposit,WA,Asbestos - serpentine,115.8411,-22.73499999999997,0
Motin Plateau Marble 1,mineral deposit,WA,"Marble, Dimension stone",115.76840000000001,-22.696800000000003,0
Deepdale Mesa E,mineral deposit,WA,Iron,115.95520000000002,-21.74970000000006,0
Deepdale Mesa B,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron",115.94979999999998,-21.659399999999984,0
Denison Limesand / Cockburn,mineral deposit,WA,"Unspecified/Unknown, Limesand",114.93550000000002,-29.289799999999964,0
Wye Farm Rd Lot 128/ Dongara Sandlands,mineral deposit,WA,Sand - undifferentiated,114.9856,-29.188499999999976,0
Sargon,mineral deposit,WA,Coal - undifferentiated,114.9054,-29.090600000000016,0
Allanooka Springs Road Lot M590 Allanooka / Yorktown,mineral deposit,WA,Sand - undifferentiated,115.0104,-29.038800000000013,0
Sheela Bore East quarry,mineral deposit,WA,"Marble, Dimension stone, Dolomite",115.7976,-23.5278,0
Silver Sheen Asbestos,mineral deposit,WA,Asbestos - serpentine,115.85980000000002,-22.755900000000008,0
Deepdale Mesa F,mineral deposit,WA,Iron,115.9973,-21.7899,0
Three Peak Hill,mineral deposit,WA,Aggregate - undifferentiated,116.0613,-21.720499999999966,0
Susan Palmer (Balmoral Southern Block),mineral deposit,WA,"Unspecified/Unknown, Iron, Magnetite",116.12949999999998,-21.11779999999993,0
George Palmer Pit,mineral deposit,WA,"Unspecified/Unknown, Iron, Magnetite",116.1413,-21.08129999999998,0
Balmoral North / Resourcehouse,mineral deposit,WA,"Unspecified/Unknown, Iron, Magnetite",116.1521,-21.014500000000044,0
Coolimba Limesand / Yarra Sand,mineral deposit,WA,"Limesand, Limestone",114.98490000000001,-29.826100000000018,0
Cliff Head Gypsum,mineral deposit,WA,Gypsum,114.9956,-29.5274,0
Dongara Limesand,mineral deposit,WA,"Limestone, Magnesite, Unspecified/Unknown, Limesand",114.99330000000002,-29.414699999999986,0
Dooka Gypsum,mineral deposit,WA,Gypsum,114.9852,-29.344900000000013,0
BFM1337,mineral deposit,WA,Clay,115.08199999999998,-29.221400000000003,0
Arthur River,mineral deposit,WA,"Tantalum pentoxide, Tantalum",115.7524,-24.643899999999977,0
Duck Creek Environmental Group,mineral deposit,WA,"Sand - undifferentiated, Gravel",116.054,-22.48089999999996,0
Red Hill Iron,mineral deposit,WA,Iron,116.076,-22.01730000000001,0
Jewel CID,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.13820000000001,-21.935199999999963,0
Cochrane,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.1325,-21.921599999999977,0
Redgate CID Pits,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron",116.1476,-21.78170000000002,0
Deepdale Mesa G,mineral deposit,WA,Iron,116.1252,-21.732599999999962,0
Jurien Bay North Gypsum 1,mineral deposit,WA,"Gravel, Gypsum",115.0098,-30.197299999999984,0
Green Head Limesand / Armstrong,mineral deposit,WA,"Limesand, Limestone",115.0043,-30.109999999999992,0
Green Head Limesand /  DBCA,mineral deposit,WA,Limesand,115.02049999999998,-30.032600000000023,0
Arrowsmith North,mineral deposit,WA,"Alumina, Iron, Unspecified/Unknown, Titanium dioxide, Silica sand, Sand - undifferentiated",115.1104,-29.512899999999988,0
Dongara HMS Group,mineral deposit,WA,"Ilmenite, Leucoxene, Rutile, Zircon, Heavy minerals",115.14290000000001,-29.431500000000025,0
Dongara South Diatomite,mineral deposit,WA,Diatomite,115.1291,-29.37249999999999,0
Midlands Rd Lot 1 Mt Horner Sand / Forward,mineral deposit,WA,Sand - undifferentiated,115.1569,-29.194699999999994,0
Mt Edith Dolomite,mineral deposit,WA,"Aggregate - undifferentiated, Dolomite",116.0789,-22.620300000000032,0
Duck Creek / Regional Resources,mineral deposit,WA,"Aggregate - undifferentiated, Sand - undifferentiated, Gravel",116.117,-22.47820000000004,0
Cardo Bore North West,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2135,-22.14870000000002,0
Kens Bore East,Deposit - Unspecified,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2219,-22.07619999999999,0
Snake - Bungaroo South,Deposit - Unspecified,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron",116.2404,-21.879699999999993,0
Jimmawurrada,mineral deposit,WA,Iron,116.2621,-21.790799999999994,0
Deepdale Mesa H,mineral deposit,WA,Iron,116.19270000000002,-21.738000000000028,0
Maitland River Area A,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron, Magnetite",116.37869999999998,-20.94700000000003,0
Cervantes / Crossland,mineral deposit,WA,Sand - undifferentiated,115.0949,-30.47460000000001,0
Jurien Sand / Haggarty,mineral deposit,WA,"Sand - undifferentiated, Limesand",115.0788,-30.273899999999994,0
Jurien Bay 1 / Westdeen,mineral deposit,WA,"Agricultural Lime, Limesand, Limestone",115.04829999999998,-30.246499999999966,0
Green Head South,Deposit - Unspecified,WA,Coal - undifferentiated,115.0804,-30.11300000000004,0
Green Head Coal,mineral deposit,WA,Coal - undifferentiated,115.07070000000002,-30.05339999999999,0
Ellengail,mineral deposit,WA,"Rutile, Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Leucoxene",115.198,-29.772900000000046,0
Arrowsmith Central,mineral deposit,WA,"Alumina, Iron, Unspecified/Unknown, Titanium dioxide, Silica sand, Heavy minerals, Ilmenite, Rutile",115.1692,-29.656099999999974,0
Hebe - Dongara,mineral deposit,WA,"Heavy minerals, Unspecified/Unknown, Ilmenite, Zircon, Rutile",115.1607,-29.488399999999963,0
Demeter - Dongara,mineral deposit,WA,Heavy minerals,115.1725,-29.46930000000002,0
Tenindewa (70),mineral deposit,WA,"Manganese ore, Manganese",115.3465,-28.61140000000002,0
Lake Nerramyne,mineral deposit,WA,Attapulgite,115.4361,-27.78280000000001,0
Weedarrah Marble,mineral deposit,WA,"Aggregate - undifferentiated, Marble, Dimension stone",115.9146,-25.046599999999984,0
Morrisey Hill / Kempton (09),mineral deposit,WA,Bismuth,115.8667,-24.753599999999988,0
Thirty Two Mile,mineral deposit,WA,Mica,115.89519999999999,-24.648800000000033,0
Catho Well Central Pits,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2713,-22.40650000000002,0
Catho Well North Pits,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2449,-22.38059999999998,0
Cardo Bore East,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2288,-22.193999999999964,0
Red Hill Creek West,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.2928,-22.0771,0
Rooster Northwest,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron",116.2952,-21.838699999999967,0
East Deepdale Mesa L,mineral deposit,WA,Iron,116.30120000000001,-21.692299999999978,0
East Deepdale Mesa M,mineral deposit,WA,Iron,116.3173,-21.675899999999963,0
Devil Creek Gravel,mineral deposit,WA,Gravel,116.43110000000001,-20.91499999999993,0
Miaree Central,mineral deposit,WA,Iron,116.47560000000001,-20.884799999999974,0
Cervantes / Marine and Harbours,mineral deposit,WA,"Aggregate - coarse, Limestone",115.1121,-30.471100000000003,0
Jurien / Tronox,mineral deposit,WA,"Leucoxene, Rutile, Heavy minerals, Ilmenite, Zircon",115.1773,-30.344700000000042,0
Mintaja,mineral deposit,WA,Coal - undifferentiated,115.2169,-30.206400000000013,0
Mintaja - Cadda - Cowla Peak,mineral deposit,WA,Coal - undifferentiated,115.2301,-30.15459999999997,0
Eneabba Group,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Rutile",115.2999,-29.85830000000004,0
Eneabba / Jennings (70),mineral deposit,WA,"Ilmenite, Zircon, Rutile",115.3026,-29.807199999999987,0
Twin Hills - Eneabba,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Rutile, Monazite",115.3233,-29.74890000000001,0
Eneabba Northern Leases,mineral deposit,WA,"Leucoxene, Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Rutile, Kyanite, Monazite",115.2444,-29.655700000000007,0
Yinnietharra / Woodman (70),mineral deposit,WA,"Mica, Beryl - undifferentiated",116.06700000000001,-24.543200000000017,0
Yinnietharra / Burt (09),mineral deposit,WA,Bismuth,116.07000000000001,-24.51419999999996,0
Tongue,mineral deposit,WA,"Rare earth oxides, Rare earth elements",116.152,-23.90389999999996,0
Paulsens East Main Pit,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron",116.337,-22.56279999999998,0
Catho Well South Pits,mineral deposit,WA,Iron,116.2858,-22.433599999999974,0
Trinity Bore Iron,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Alumina, Iron",116.3367,-22.354400000000027,0
Middle Robe Mesa 2401A,mineral deposit,WA,Iron,116.4712,-21.701700000000002,0
Middle Robe Mesa 2400B,mineral deposit,WA,Iron,116.3944,-21.66569999999999,0
Miaree North,mineral deposit,WA,"Iron, Magnetite",116.5251,-20.87309999999999,0
Maitland River Sand / KE Envir Group,mineral deposit,WA,"Sand - construction, Sand - undifferentiated",116.51280000000001,-20.785200000000003,0
Wedge Island South Dune,mineral deposit,WA,Limesand,115.2198,-30.8207,0
Woolka Rd Lot 3157 Cooljarloo,mineral deposit,WA,"Limesand, Agricultural Lime",115.25820000000002,-30.699499999999976,0
Bibby Creek,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Rutile",115.2892,-30.487599999999986,0
Thomson / Sheffield,mineral deposit,WA,"Ilmenite, Leucoxene, Rutile, Unspecified/Unknown, Zircon, Heavy minerals",115.34619999999998,-29.853299999999997,0
Ocean Hill - North Mine Area,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon, Rutile, Monazite",115.3231,-29.81089999999998,0
Wongaburra,mineral deposit,WA,"Heavy minerals, Ilmenite, Leucoxene, Zircon, Rutile",115.33860000000001,-29.72739999999999,0
Wenmillia Dam,mineral deposit,WA,Kaolin,115.5501,-28.472799999999964,0
Mooloo Downs Barite,mineral deposit,WA,Barite,116.0755,-25.070000000000025,0
Chalby Chalby Rose Quartz,mineral deposit,WA,Quartz - rose,116.08529999999999,-24.807000000000006,0
Gascoyne Dravite (09),mineral deposit,WA,Tourmaline,116.1756,-24.573100000000025,0
Gascoyne Beryl Crown Lands and Sundry Persons,mineral deposit,WA,Beryl - undifferentiated,116.17710000000001,-24.542699999999986,0
Auer Zone 2,mineral deposit,WA,"Rare earth elements, Neodymium, Praseodymium",116.25570000000002,-23.96320000000002,0
Hook,mineral deposit,WA,"Rare earth oxides, Rare earth elements, Neodymium, Praseodymium, Dysprosium, Europium",116.22930000000001,-23.865999999999964,0
Wyloo Marble,mineral deposit,WA,"Marble, Dimension stone",116.3599,-22.795000000000048,0
Wyloo North,mineral deposit,WA,"Unspecified/Unknown, Magnesia (magnesium oxide), Manganese, Phosphorus, Sulphur, Titanium dioxide, Alumina, Iron",116.4396,-22.562600000000057,0
Old BHP Deposit 7,Deposit - Unspecified,WA,Iron,116.4953,-22.251900000000013,0
Old BHP Deposit 1,Deposit - Unspecified,WA,Iron,116.4292,-22.207700000000056,0
Bungaroo South Western Area,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Alumina, Iron",116.50269999999999,-21.99419999999998,0
Bungaroo Creek Trial Pit,mineral deposit,WA,"Phosphorus, Iron",116.46350000000001,-21.94920000000001,0
Middle Robe Mesa 2403A,mineral deposit,WA,Iron,116.54970000000002,-21.707800000000013,0
Middle Robe Mesa 2402B,mineral deposit,WA,Iron,116.48870000000001,-21.687399999999993,0
Baynton Hill,mineral deposit,WA,"Gravel, Sand - undifferentiated, Aggregate - undifferentiated, Aggregate - coarse",116.67060000000001,-20.890299999999996,0
East Middle Intercourse Island Borrow Quarry,mineral deposit,WA,"Sand - undifferentiated, Aggregate - coarse",116.66939999999998,-20.666400000000007,0
Lancelin / Candeloro,mineral deposit,WA,"Limestone, Limesand, Agricultural Lime",115.3273,-30.997099999999964,0
Indian Ocean Drive Lot 800 Cooljarloo / Dawe,mineral deposit,WA,"Limestone, Aggregate - undifferentiated, Limesand",115.29099999999998,-30.785300000000017,0
